start,stop,is_segregating,is_multiallelic
26358883,26475809,14031,893
26475810,26592343,12607,918
26592344,26735840,17243,1131
26735841,26859256,14829,979
26859257,26982708,7223,299
26982709,27112929,12587,664
27112930,27245887,15646,848
27245888,27373013,16116,940
27373014,27524109,23122,1540
27524110,27665222,18980,1210
27665223,27798837,14322,838
27798838,27926484,15523,875
27926485,28069416,18341,1024
28069417,28204302,17367,1103
28204303,28330772,17515,1170
28330773,28456393,14287,761
28456394,28575409,11395,651
28575410,28697431,14058,853
28697432,28818956,14901,892
28818958,28949549,16039,936
28949550,29086224,13767,783
29086225,29217955,15393,957
29217958,29339890,14316,838
29339891,29462731,17731,1133
29462732,29586233,19377,1349
29586234,29708391,18663,1405
29708392,29837804,19712,1300
29837805,29968810,18275,1266
29968812,30119194,19094,1314
30119195,30265370,17714,1059
30265371,30380600,15007,928
30380601,30510133,14844,830
30510134,30627669,14816,873
30627670,30758729,17164,1030
30758730,30880037,15326,1001
30880038,31016030,15028,938
31016031,31151505,15024,1055
31151506,31281245,15510,1160
31281246,31401083,14837,826
31401084,31529047,14570,804
31529048,31654080,15555,844
31654081,31780924,14206,784
31780925,31915298,17538,1098
31915299,32045857,17267,1087
32045858,32183021,17121,1144
32183022,32307771,18806,1324
32307772,32432599,16145,990
32432600,32564140,14880,803
32564141,32690497,14956,860
32690498,32812064,16183,970
32812065,32936851,12649,661
32936852,33073276,14154,710
33073277,33195213,12623,735
33195214,33321578,12904,585
33321580,33440733,14408,837
33440734,33556383,16994,1231
33556384,33681218,18334,1296
33681219,33808432,17919,1152
33808433,33942352,14041,753
33942353,34069047,16107,939
34069048,34201624,16983,1144
34201625,34325889,17092,1175
34325891,34448411,16591,1080
34448412,34568057,16054,999
34568058,34696224,12145,573
34696225,34834435,17323,1053
34834436,34949446,14917,1021
34949447,35079246,19782,1448
35079248,35233293,19581,1290
35233294,35510934,35848,2242
35510935,35645632,15924,907
35645633,35774081,13722,722
35774082,35889923,13516,916
35889924,36007273,13996,761
36007274,36134068,14569,838
36134069,36325974,20269,1269
36325975,36480033,5229,301
36480034,36603412,8800,552
36603413,36728516,11891,654
36728517,36846987,11157,526
36846988,36970595,14642,786
36970596,37111557,19480,1160
37111558,37228428,12156,603
37228429,37350847,7666,416
37350848,37483429,10663,505
37483430,37624292,9253,363
37624293,37739893,10440,459
37739894,37860335,11722,528
37860336,37997339,11143,530
37997340,38109352,10512,497
38109353,38220902,10646,550
38220903,38333919,12662,732
38333920,38472202,16850,1000
38472203,38598877,16316,975
38598878,38723176,6284,372
38723177,38841131,15881,934
38841134,38954912,14446,809
38954913,39068219,13491,804
39068220,39193089,11452,623
39193090,39307129,13116,646
39307130,39419079,13847,742
39419080,39532831,14404,794
39532832,39655370,13914,864
39655373,39772725,13397,738
39772726,39931266,17108,908
39931267,40041915,14153,836
40041916,40150255,13457,734
40150256,40257142,15495,1006
40257143,40367899,14870,876
40367900,40476118,12545,692
40476119,40595690,15799,887
40595691,40756958,18342,873
