start,stop,is_segregating,is_multiallelic
41748287,41861718,15710,1125
41861719,41975880,13338,885
41975881,42097751,16197,960
42097752,42223427,13315,812
42223428,42344798,16613,1001
42344799,42460760,15769,951
42460761,42575898,17381,1215
42575901,42701958,18762,1230
42701959,42822064,15492,896
42822065,42937050,15478,985
42937051,43058087,13725,808
43058088,43176387,14113,774
43176388,43294090,17703,1078
43294091,43425906,17167,1052
43425907,43555075,18138,1083
43555076,43693940,17540,1007
43693941,43805527,14104,774
43805528,43925057,14810,853
43925059,44070663,18589,1143
44070664,44197477,14353,784
44197478,44338682,16361,878
44338683,44451933,10414,631
44451934,44571974,17191,1046
44571975,44685549,14312,823
44685550,44802612,14200,837
44802613,44925263,12413,717
44925264,45040833,11176,694
45040834,45159839,14158,838
45159840,45278052,16126,924
45278053,45390444,14319,856
45390445,45506785,16982,1143
45506786,45646016,17067,961
45646017,45762595,14766,905
45762596,45879351,16718,1118
45879352,46002100,14171,821
46002101,46115314,13730,761
46115315,46228507,13537,726
46228508,46343449,10800,477
46343453,46459973,12564,713
46459974,46574899,14497,780
46574900,46691291,13699,772
46691292,46803460,11041,506
46803461,46921442,12227,530
46921443,47033248,11928,583
47033249,47145135,12267,570
47145136,47259013,12377,588
47259014,47377900,13866,713
47377901,47490638,13665,741
47490639,47602869,14799,931
47602870,47719660,10079,429
47719661,47831074,11250,570
47831075,47941123,14843,841
47941124,48053494,14523,822
48053495,48167703,10178,407
48167704,48282546,12345,564
48282547,48389484,11013,491
48389485,48498616,10671,452
